feature_pair,feature_a,feature_b,n_schemas,support,timeout_rate,under_rate,over_rate
has_properties__AND__has_type,has_properties,has_type,1010,0.996055,0,0,0.506563
has_properties__AND__has_required,has_properties,has_required,807,0.795858,0,0,0.55011
has_required__AND__has_type,has_required,has_type,807,0.795858,0,0,0.55011
has_defs__AND__has_properties,has_defs,has_properties,731,0.720907,0,0,0.586888
has_defs__AND__has_ref,has_defs,has_ref,731,0.720907,0,0,0.586888
has_defs__AND__has_type,has_defs,has_type,731,0.720907,0,0,0.586888
has_properties__AND__has_ref,has_properties,has_ref,731,0.720907,0,0,0.586888
has_ref__AND__has_type,has_ref,has_type,731,0.720907,0,0,0.586888
has_defs__AND__has_required,has_defs,has_required,636,0.627219,0,0,0.611712
has_ref__AND__has_required,has_ref,has_required,636,0.627219,0,0,0.611712
has_items__AND__has_properties,has_items,has_properties,601,0.592702,0,0,0.651515
has_items__AND__has_type,has_items,has_type,601,0.592702,0,0,0.651515
has_defs__AND__has_items,has_defs,has_items,539,0.531558,0,0,0.679206
has_items__AND__has_ref,has_items,has_ref,539,0.531558,0,0,0.679206
has_items__AND__has_required,has_items,has_required,537,0.529586,0,0,0.659236
has_additionalProperties__AND__has_properties,has_additionalProperties,has_properties,408,0.402367,0,0,0.721127
has_additionalProperties__AND__has_type,has_additionalProperties,has_type,408,0.402367,0,0,0.721127
has_additionalProperties__AND__has_defs,has_additionalProperties,has_defs,402,0.39645,0,0,0.732475
has_additionalProperties__AND__has_ref,has_additionalProperties,has_ref,402,0.39645,0,0,0.732475
has_additionalProperties__AND__has_items,has_additionalProperties,has_items,385,0.379684,0,0,0.759287
has_additionalProperties__AND__has_required,has_additionalProperties,has_required,383,0.377712,0,0,0.739065
has_defs__AND__has_enum,has_defs,has_enum,250,0.246548,0,0,0.835681
has_enum__AND__has_items,has_enum,has_items,250,0.246548,0,0,0.835681
has_enum__AND__has_properties,has_enum,has_properties,250,0.246548,0,0,0.835681
has_enum__AND__has_ref,has_enum,has_ref,250,0.246548,0,0,0.835681
has_enum__AND__has_type,has_enum,has_type,250,0.246548,0,0,0.835681
has_enum__AND__has_required,has_enum,has_required,246,0.242604,0,0,0.842105
has_defs__AND__has_oneOf,has_defs,has_oneOf,239,0.2357,0,0,0.6675
has_oneOf__AND__has_properties,has_oneOf,has_properties,239,0.2357,0,0,0.6675
has_oneOf__AND__has_ref,has_oneOf,has_ref,239,0.2357,0,0,0.6675
has_oneOf__AND__has_type,has_oneOf,has_type,239,0.2357,0,0,0.6675
has_additionalProperties__AND__has_enum,has_additionalProperties,has_enum,238,0.234714,0,0,0.836634
has_oneOf__AND__has_required,has_oneOf,has_required,212,0.209073,0,0,0.726519
has_items__AND__has_oneOf,has_items,has_oneOf,184,0.18146,0,0,0.76161
has_additionalProperties__AND__has_oneOf,has_additionalProperties,has_oneOf,168,0.16568,0,0,0.736111
has_enum__AND__has_oneOf,has_enum,has_oneOf,69,0.0680473,0,0,0.93913
